Q (uL/min),Vg (mm/min),Layer Height (mm),Average Line Width (μm),Average Line Height (μm)
559.173293324756,1752.13876295285,0.9,737.2261,445.12
335.428512602801,992.55421695476,0.9,771.86,348.215
288.061258783407,820.794310227273,0.75,1016.00276,334.2425
195.056004714734,547.705097405214,0.8,795.901666666667,332.665
348.070486549275,970.531926002945,0.9,831.062395856811,475.61
579.408239905933,1587.04726989332,0.8,953.4630667,420.455
609.911917714837,1654.75808250659,0.75,830.86925,450
455.365446487847,1226.27351805125,0.9,784.471666666667,316.1175
216.578346986743,571.494133655119,0.8,809.696816666667,481.7725
664.36048618662,1716.48404226792,1.15,898.322325,337.21
798.570554897921,1939.52365505651,0.9,852.988333333333,308.825
488.578866906519,1158.63915842409,0.7,963.2834,423.91
514.955223521684,1213.68100803168,0.7,1107.7167525,408.2275
653.074623222534,1507.60032796199,0.7,982.174366666667,450
635.214851517784,1461.13757846942,0.7,994.00332,472.53
561.854670930214,1237.24897496283,0.8,920.75,335.5275
865.4114555154,1886.06769984008,0.7,1168.65935116667,418.61
845.259414153936,1793.64761522821,0.7,1017.4621,465.1175
739.866265834738,1560.45841117814,0.7,1031.07866666667,505.8675
322.964618079974,662.852143133565,0.8,930.176666666667,483.3325
953.448835426737,1907.214862171,0.8,1092.55666666667,391.895
977.415490630517,1935.62409146292,0.9,1099.18035501439,380.4375
824.057569296652,1627.86211349756,0.8,1073.212,505.6175
896.176854759536,1769.53664417785,0.7,1034.13166666667,381.5825
411.63102357671,812.360806589251,0.7,1185.81365619265,490.26
682.606869003501,1336.70289751153,0.9,1100.341,481.1825
934.37547653144,1828.21209222444,0.8,1012.06495,467.9525
773.648673083245,1473.92515032089,0.85,954.987166666667,446.0225
708.219456184894,1339.04065113405,0.85,1266.55361805997,553.8275
532.06217721669,967.088900625833,0.9,1236.00171666667,471.59
720.560840434746,1266.95545648258,0.8,1088.69166666667,421.535
595.201682574391,1027.69911974218,1.05,1026.03615,456.925
806.03354848069,1376.41999803964,0.8,1162.915,395.0925
178.812476660276,303.189203243117,1,1059.33833333333,458.3325
426.402646079258,688.831260770327,0.8,1114.69666666667,418.915
917.909563652412,1436.74880725851,1,1123.8,403.36
723.970869595437,1108.44652233333,0.9,977.51,566.415
93.5140814566785,142.686663773951,1.05,1156.86097431645,621.4375
926.4011622964,1395.60187652149,0.85,1269.73883333333,500.0025
733.200966425669,1089.26520446332,0.85,1447.075383,570.79
257.589821875235,381.318177375827,0.85,1450.396766,637.0225
538.630328030536,763.819770356902,0.9,1211.575,300.7825
837.151897693117,1178.19017554097,0.9,1078.52733333333,533.33
375.195401458716,524.353544356761,0.9,1205.95,493.495
756.784609609237,1041.69524282445,0.9,1231.42,500
645.569472971162,888.294242675641,0.9,1268.69333333333,391.0725
847.863726345017,1141.10690405251,0.9,1315.022,464.605
589.584649083025,789.199783259646,0.9,1181.06333333333,519.91
